aabasu	nombre de hombre
sen	o del oído
sen	ss
sen	tidos
sen	vrbint en parir
bej	no
bej	wa wi ra
biser	gozar de bienestar
biser	vri estar bien
pobla	n joven
agra	ble apariencia
prospe	cé
prospe	lad
ani	alargándose
ani	ales
ani	andar
ani	brakk males
ani	caldero males
ani	cosas
ani	descuerar
ani	desgra mel kwakwagoti
ani	ensortijado
ani	flexible pigawxa
ani	largo
ani	les
ani	les grandes
ani	los machetes
ani	males
ani	objetos lejanos
ani	objetos macizos jassakati
ani	objetos macizos jassakatimata
ani	plantas
ani	rabo de iguana
ani	tua males
pros	ridad
figura	ardita
figura	bija
figura	caney
figura	kreex
figura	palma
bii	biikrananta
bii	biikunanta
bii	kragorí
bii	krananta
bii	ss kragori
bii	ukk tikkwi
biilu	mico
pri	alowatta seniculus
pri	mate alouatta seniculus
pri	simón
scorpici	e des
biiti	n punta
ape	mana
gee	awaluitu
gee	cerdo verdadero
gee	miitu
gee	reesa ennaka
gee	s prést
gee	saajino
gee	wuda
sudes	ino final
espe	e hongos biggcña
espe	groonto
espe	gwragga
espe	miiwiti
espe	puerco
espe	rtuga kinosternon
espe	thag asustarse
espe	to
espe	wiña
arc	adverbio indefinido de
arc	bric mucho
canti	bre dad
canti	cón dad
ale	arroyo profundo
ale	cé
ale	pet
ale	y satistacción
adver	bijlaul v
adver	bioindefinido de negacióndecantidad
adver	nadic
adver	ni bikki
bijlad	ni cuánto
owe	cuántos hijos tienes
degga	a toda hora
degga	en todo momento
des	arc tino final
des	armadillo
des	armadillo moján
des	bajar cl ánimo
des	cansar
des	casacaminata zoo yuniriya
des	cé
des	dasypus novemcinctus
des	dentado dasypus novemcinctus
des	departamento de llena
des	desdicha
des	desestimular
des	dicha
des	el papel
des	equív
des	especie uurudero
des	likicwa garrados
des	linwiyera
des	liter nuestra madre
des	llo moján
des	mes
des	mimar
des	mocida
des	nuestros
des	quiv
des	ra ri sas
des	reposar
des	rula
des	sutti
des	weaniani
lun	carne de monte
lun	guartinaja
genita	un les femeninos
lum	handroanthus billbergis
marital	nte
binniki	binnikika kaaga
binniki	chinchilin
binniki	cómo amanecimos
binniki	cómo estás
geni	gusano del maíz
geni	tales masculinos
ittakra	pecho
apófisis	chacha
bitt	puerco
domes	cryp tica
domes	ponche
domes	simón
domes	sut ciert suusu
hydrochae	mana
hydrochae	saíno
bila	mana
bila	saíino
nsukwekkwe	tigrillo
bou	bledo
bou	polvillo
típi	bledo blanco
erythro	canto
erythro	kochere
erythro	lazo
erythro	us
cuen	an fincas
cuen	bosques
cuen	cultivos
constela	iones
constela	pozos de agua
espa	a mí
espa	acá
espa	ciales
espa	de su lado
espa	iales
espa	la prin sowenikki
braa	bra trb
braa	clasificador
braa	clasificados
braa	falta de
braa	impar
braa	na b
braa	otro
braa	refiriéndose a extensiones
bra	bee í
bra	brabrada
owi	agrupar
owi	paujil
owi	piar
braateriya	reunión
num	cinco
num	dos
num	ef
num	num cinco
num	plantas
num	refiriéndose a trozos
num	refiriéndose a árboles
num	refiriéndose aextensiones
num	tres
com	br pletitud
com	caldo de sal
com	caracol de palo
com	objetos ung planos
com	refiriéndose a seres
com	tiva pletitud
cau	chirrío
cau	coquetear
cau	provocar
cau	retar
árbo	ven les
árbo	weetokranta
bree	kwa
bree	objetos grandes
bree	refiriéndose seres humanos
bree	riéx macizos
bree	yac animales grandes
breew	refiriéndose a un
refi	animales
refi	animales fon grandes
refi	aparatos
refi	boa
refi	c plantas
refi	capital de colombia
refi	el maíz
refi	flexibles
refi	iéndose eventos extraordinarios
refi	los machetes
refi	macizos
refi	ndose a animales
refi	objetos
refi	objetos largos
refi	objetos largos y
refi	objetos macizos
refi	oblongos liteyeemekenta
refi	plantas
refi	puerco
refi	quiv buwada
refi	riéndose a máquinas
refi	sapo con cuernos
refi	stos macizos
refi	tendose a casas
refi	uiv
ver	iba lo
ver	los costales
ver	pasaba iendo
refirién	a seres humanos
refirién	an máso
refirién	animales
refirién	animales grandes
refirién	animales y
refirién	cañaguate
refirién	cocuyo de monte
refirién	cualidades
refirién	dose a objetos
refirién	flexibles wiimari
refirién	grupos de objetos
refirién	imales
refirién	impl rést caballo
refirién	las culebras
refirién	lose a objetos
refirién	obgwaagu jetos
refirién	objetos
refirién	plata
refirién	rayanta im srillo
refirién	tigre
obje	bajagua
obje	dolor mu wecriya
obje	gavilán
obje	gavilán grande
obje	macizos
rela	ente corto
rela	machetes
rela	tivamente esféricos
rela	zos de madera
lar	cé tii
lar	desmigajar
lar	grillo cebollero
lar	im gos
lar	los
lar	oblongos
lar	tes gos
lar	tiinti nitti
lar	tiirin gos
lar	tiranta
lar	y nom tiisa
lar	y oblongos
casi	dtr num todo
casi	todos
grisá	gabriira vilán pequeño
brii	ar
brii	clasificador
brii	clasificador ma macondo
brii	e uerpo pequeño
brii	ef
brii	falta de completitud
brii	imp tcycemekenta
brii	kweckkwe
brii	l acuáticogiiya
brii	macizo
brii	pl bol
brii	reemekenca jm so
brii	tos grandes cóncavos
brii	yori
brii	zf
gran	c des
gran	calderos
gran	cóncavos
gran	ef
gran	huecos como calabazos
gran	las ollas
gran	les
gran	los
gran	mico
brikki	detrás
pequeño	no tamaño
bujes	carauta
culti	kkiitikk vadas
solana	ae solanum sp
bukka	yerno
equ	currucuchú
lia	añ
lia	currucuchú
lia	mc
lia	pigurars bukkachu
lia	ps d
lia	zorro chucho
buti	yaya
fami	bot hiaris
fami	espec lia apodidac
fami	idac
fami	ixodowdca
fami	licidac
fami	liter cueva lo
fami	oso
fami	primo
aconsejar	amonestar
butt	persuadir
butt	r amonestar
butt	recomendar
butt	vr aconsejar
buul	departamento de
buul	ette butteriya
buul	nc pensamiento tradición
magda	buurukakkratari
magda	lena
magda	lena aarajakkratari
magda	morrocoyo
magda	muula
wiicha	culebra
wiicha	wiichayaowi
wiicha	yaowi
wiicha	yxo
serpien	n tes
sinextre	mapaná
sinextre	planta mapaná
uttu	zarigúeya didelphis
uttu	zorro chucho
nokentawen	cuándo vuelves
buurama	cuando quiera
buurama	nom buw riñón
buurama	siempre
buurukakkratari	vr s nom
aara	ari
aara	bofe
aara	buurukakkratari
aara	carito
aara	cintur kassakwa
aara	cé
aara	diitake anat wakkani
aara	diitake kwcerini
aara	koggo wakkani
aara	yerna
chaa	cómo
chaa	modo o naturaleza
chaa	qué
chaa	y por qué
chiicho	chicho
chiicho	chimila
chiicho	chiquita
chiiso	chiso
chiiso	chiva
chiiso	venado
cervi	mazama
hii	chivato
chorotto	ardita
mchoroto	ardilla
manan	ales de agua
kattu	decra
kattu	dl kwadeera
kattu	sooweda buurari
kattu	sooweda decra
kattu	sooweda deera
tra	adv bajo
tra	ati
tra	dicionales
tra	pa dicionales
tra	tato
tra	urabaja
tra	yecto
humanoi	des
daj	nariz
daj	refiriéndose a humanos
reci	dosc ale piente
reci	le
reci	nte
reci	objetos largos
reci	piente
reci	sientes taakwateycemekenta
reci	tos man animales
dakka	infección
dakka	pus
robin	mi
robin	zorro chucho
marsupia	lis
dappi	avanzar a saltos
dappi	generalmente
dappi	pr saltar
nappi	avanzara saltos
nappi	generalmente
takri	saltar hacia arriba
ppigri	salirse del corazón
fígurars	paletilla
dee	manteca
dee	mazamorra
dee	no he comido
dee	panela
wii	ada
wii	calor
wii	cuñado
wii	haya owi
wii	no
wii	sila
wii	sorra
wii	wiisimagka
dig	cuchillo
dig	mazamorra
dii	ke ta maana
dii	koggo kwekkwe
did	ardita
dista	cerbatana
can	aguas explayas
can	colador de totumo
diiy	aguas grandes
maana	agua que asa
teekri	agua reposada
teekri	aguas profundas
teekri	explayada
teekri	jagúey
kakka	nubarrón
kakka	temporal
maawi	agua cristalizada
dij	diente
insec	tos
dih	encía
dih	muela
din	corazoncillo
din	raicilla
kaj	arc braganisa
kaj	bri
kaj	casearia sp
kaj	crabri
kaj	dassi
kaj	gee
kaj	horqueta dekaj jeenoya
kaj	paagwa ittiya
kaj	raasog
kaj	raasonti
kaj	rakkwata
kaj	ssara
ukka	sin dientes
departa	kiter martica
departa	mento de magdalena
departa	nento de cesar
purpuras	cens purpurascens
purpuras	nba
purpuras	si pls iguana
hincar	tootuttusu
dindin	brincar el pellejo
convulsio	brincar el pellejo
deca	e poda
temporada	de trabajo
doo	malo
doochito	diosito
dujt	echar
dujt	tamarindo silvestre
decan	timplora
sobresaliente	igura dooro
escu	lenta
escu	mia
squa	al mosa
árbol	a garrote
árbol	avewipproro myiarchus tuberculifer
árbol	beckra brosimaum alicastrum
árbol	becwanisa
árbol	beza tissakra
árbol	biisakra sterculia apetala
árbol	cadillo
árbol	calabazo debot cuggrawa
árbol	calabazo deikkawa
árbol	camaleón
árbol	canaste camajón
árbol	canoa
árbol	cañamana
árbol	cerbaran semilla
árbol	chaparro kajmaj
árbol	cho
árbol	cocuelo
árbol	daggwra enterolobium
árbol	de burro moogowa
árbol	desnudo ñaabri burserasimaruba
árbol	dukkruwakra annona purpurea
árbol	ei
árbol	fruto bot debiisawa
árbol	fruto debeewa
árbol	gaawi
árbol	guasale
árbol	hamaca kraa
árbol	iira
árbol	ittu
árbol	jarikati
árbol	jiira vitex cymosa
árbol	joonti centrolobium paraense
árbol	jootikarawakra elicoccus oliviformis
árbol	kaaramokwarakra licania arborea
árbol	kajbussara caesalpinia ebano
árbol	kajkakkeri
árbol	kajromoroti acacia macracantha
árbol	kajruuruti platymisciam sp
árbol	kalloti wittmackanthus
árbol	konnckra zanthoxylum
árbol	kuunsiwakra hymenaca
árbol	kwaati cavanillesia platanifolia
árbol	kwraarati
árbol	lechuza
árbol	liinta lintatuwa
árbol	maalabo
árbol	majagua
árbol	majnakuumisa
árbol	manta kooroda liitake
árbol	myiarchus
árbol	n kkc
árbol	pappuwa
árbol	pseudobombax septenatum
árbol	rcc gaggwwwra igkiln
árbol	ri
árbol	semilla de
árbol	sume ojoso
árbol	tiichakra ceiba pentandra
árbol	tiukra melicoccas
árbol	tukkra guazama ulmifolia
árbol	tunnuruwakra lecythis minor
árbol	vr acacia glomerosa
árbol	wanisa
árbol	wigpilo
duus	canilla de venado
pundungo	tamandúa
mexi	cana
mexi	inón
mexi	oso caballo
dendro	cida
dendro	danzar
comu	nales
eekawi	alimentar
ali	mentos
ali	mentos cocidos
ali	que
eekowaya	ponchera
eero	gallineta
ejku	n frondoso
ejme	vr allá
ejni	ai sangre
asen	miento
asen	timiento
asen	vrbtrs tostar granos
alinterlo	bien
alinterlo	tte im otro
aspecto	dado
ekuna	moka ekuna piirogoye
ejk	propio
repre	gru sentativo
nas	de q toser
nas	gi de
huma	animales
huma	antiguos
huma	armad dos
huma	gente de an
huma	os
huma	otros indigenas
huma	pa
huma	peniento indígena
diferen	los ette
ette	indios
ette	la gente nueva
ette	país
ette	región
gaabra	bonisa pceñu
gaabra	cera de abeja
gaabra	pecña
gaapu	cigarrero
gaapu	ovejero
gaatu	sobrina
billber	gi
gaau	bocona
gajbr	suegra
gaggwra	raicilla
gate	bracito
gaggwawa	ad gatti
hor	btrs rciar
hor	caminar imar gukkwa
hor	kitari
hor	mangle
hor	palo de agua
hor	prést carnero
hor	weenta é
depar	tamento de magdalena
depar	to de magdalena
gata	sobrino
giip	alacrán
cul	guerra
cul	las
gite	españoles
gite	guerreros
tradicio	antiguamente cubierta con
tradicio	juk nales
tradicio	rales
rawatuttu	mana
kan	awx
kan	mit reesaennaka
kan	saajino
kan	tapaculo
kan	tuuda
her	cé
her	ef
her	isa isa mosa
her	mano
her	nana
her	nano
her	oorisu
her	s maññar
her	sentari
her	yere ere
reser	soino
apagar	extinguir
apagar	tabacos
apagar	tizones
vokaa	hartarse
ookwa	resistir
ookwa	tener aguante
scorpioi	des
apo	kr yado
apo	yado
pigura	oy
pigura	zx
grugga	desviarse
grutta	respeto
grutta	seriedad
grutta	solemnidad
gruuchakkwi	adulto
gruuchakkwi	anciano
gruuchakkwi	señor
gruu	en taya
gruu	respeto
gruu	takakkwi
nuke	blando
puta	mayor
puta	señor
respetar	equív
respetar	honrar
respetar	reverenciar
gugga	abastecerse
gutta	gu amanecer
ski	arriba
gutteriya	dl morada
gutteriya	lugar para pernoctar
guttita	imp
fru	el melón
fru	la patilla
raaka	vaca
rajbri	bujío
rajbri	dormilón descuidado
gwajgowi	socolar
gwraa	amujna jm os
gwraa	piecito
wraa	cé
wraa	falta de completitud
wraa	impar
wraa	otro
desyerbar	con las manos
ase	contr deroso
ase	serenar
gwrajowi	curar con plantas
pecu	liar
pecu	premeditada
gwrakkebru	chirrio
brakka	gr bra
kajnoo	romper monte
kajnoo	tirar
kajnoo	y wa
mano	tear
multi	bre plicidad
multi	cllos dijeron
multi	ene plicidad
ificador	brazo
col	ciertos animales arbóreos
col	gado
gaagawi	casarse
gaagawi	guindar
comprome	terse maritalmente
gaage	lagaña de perro
luciér	casarse
luciér	guindar
gaagri	estar colgado
gaagri	objetos
gaagri	refiriéndose a animales
gaala	mofar
gaanage	pelear violentamente
gaaneriya	lugar para pernoctar
gaaneriya	morada
leopar	dus pardalis
leopar	leopardus wiedii
gaari	alto
gaari	grande
gaawina	gwaaga nadar
sagg	animales
fles	contestar
fles	de pa responder
clasi	a los chicharra
clasi	kraakweeri
clasi	macizo
clasi	pequeño
clasi	po grande
clasi	rca grande
clasi	és ficar
ficador	ina que se
ficador	inal que se
ganta	gen cls suf
pronombres	gativos
pronombres	gatizos
pronombres	gusa males
pronombres	interrogativos
pronombres	mana bejsaara
pronombres	managkre kike
pronombres	monteador
pronombres	negativos
pronombres	no duermo bien
pronombres	per
pronombres	re
pronombres	relativos
pronombres	terrogativos
pronombres	vos
noso	os vivimos
kenne	gkrete
kenne	yumm keya
car	in thaginensis
car	nnensis
ennaka	chicharra
ennaka	nom contrapietra
iglorabribri	nom vástiga
kiti	aceituno
kiti	ro
seppa	barbul
seppa	pacopaco
glo	zarza blanca
glo	zarza roja
ikwa	bejsumunnaa
yuu	diitake dokkwi
men	naaregowiti
men	roosau
habla	eagasaleka
habla	enlengua indígena
habla	ensangrentado
singu	estoy llorando
singu	isauka guuri
singu	se sufija a
isaukara	fi pron d
del	bittalorakccra
del	camajón sterculia apetala
del	cañaguate
del	dukkwakikkra
del	esparcir achiote
del	gaggwrakikkra
del	gaggwratowa
del	guasale
del	hacha
del	iro
del	jaakratoro
del	joññokwakra
del	kattukwadaggera
del	kon dedo anular
del	krooei
del	kuwimanta
del	mismo sexo
del	mundo humano
del	muru isa ita
del	numirintala
del	parentesco
del	rio
del	siudakra phaseolus vulgaris
del	tabrakka
del	tío
del	tío conejo
del	uklra occipucio
del	verde akkwabot nisa
del	véanse guras
del	wiisawi
del	wissa
del	yaaula
del	yama duusa duusa
del	ñ iris wisa
tie	rra
itrik	tierra plana
ittik	llegar
ittik	p arribar
itti	borrachera
itti	desierto
itti	majagua
itti	ti ittibrajga
siphonap	ittilke tera
uutu	loma
varón	liga
como	alacranes
como	b ye yowaya
como	ciempiés
como	grillos
como	tiigruti mantis
jaa	estante
jaa	num
jaa	takawa
jaa	zarzo
jaachoteru	achotero
aagawi	monteador
jaakra	bocona
jaakra	cabeza
jaakra	falta de
jaakra	impar
jaakra	krateu om calvo
jaakra	kratoro nom occipucio
jaakra	otro
jaakra	paakraputtu nom calvo
jaakra	plantas
jaakra	porción posterior y
jaakra	refiriéndose a árboles
jaakra	sardinita
mayoría	arbustos jaa
mayoría	de árboles
mayoría	palmas
mayoría	plantas cultivadas
completi	plantas
completi	refiriéndose a árboles
completi	tud
cwagowi	pagar
ser	ente mastigodryas pleei
ser	ij
ser	jottokaa
ser	ku clasificador
ser	kwi clasificador
ser	pagar
ser	refiriéndose a
ser	tj
ser	wii
ser	wiina
cerca	hamaca
jaame	venado
jaane	adj encima
jaane	sobre
sor	cla presao animosidad
sor	ct cantar
sor	dela presa
sor	perf presa
sor	trinar
lamen	santiago
jaasal	adj del hervido
pad	cas peces
pad	ef
pad	no nadar
blo	mosca real
culi	calabazos
culi	cubiertos
culi	dos como ollas
culi	os
culi	pocillos
ocu	akwrekkwari m erío
ocu	pue
lil	burros
lil	caballete
lil	estante
lil	zarso
jaawug	jabón
indus	rob trial
neya	adv arri enseguida
neya	inmediatamente
asesi	asolar
asesi	exterminar
asesi	jaike nar
cer	ant cano
ades	debemos ar bien
ades	equív jaike
ades	hay que
ades	jaikemagkre bejtaara
ades	jaine
val	hay que
val	turas tr
rap	nc tados
sangre	consecuentemente
sangre	la habitación y
enamo	ha rar
enamo	seducir
tem	acabarse
tem	agotarse
tem	refiriéndose a
sala	eldi completamente
sala	enteramente
total	mente
ven	concluir una tarea
ven	terminar untrabajo
cier	males
cier	terminar un
tien	los insectos
jatta	al final
jatta	de último
jatta	dos ma
jatta	kogg dukkra
tar	azul
jatiki	desde
jatiki	hasta
pulsera	hecha en algodón
bittakra	tres ma
jeen	así soñó
jeen	pegar
kaa	bint espirar
kaa	camisa
kaa	circula rakanta
kaa	clasificador
kaa	continentes
kaa	estar
kaa	h m
kaa	hoja vegetal
kaa	ia
kaa	impar
kaa	limuttu
kaa	num
kaa	otro
kaa	paapelu
kaa	praata
kaa	refiriéndose a
kaa	ron
kaa	sangregado
kaa	sentirse
kaa	ser
kaa	ta
kaa	taanti nom
kaa	taauku
kaa	tabaco
kaa	tomar aliento
macizos	la patilla
macizos	las piedras
macizos	los calabazos
macizos	los pocillos
tre	refiriéndose a e
cal	ceiba roja
cal	cor fragmentarse
cal	eros
cal	refiriéndose a objetos
jegayo	jiikati ahogarse
tim	camino explayado
tim	jesucristo
pré	callejón
pré	camino explayado
pré	hija
jiilariy	noa jiicha
super	c ficie
super	hija
jiika	apl st radio
jiika	grabadora
jiika	transmisor
jiika	waacha too
jiika	ón taarakakha
jiinaka	salir
fissa	guardacaminos
fissa	huyentona
fissa	ramada
wee	code wee
wee	grutia
wee	verano
wee	waya
wee	weenok kowe wekwe
jiya	avergonzarse
jiya	sentir pena
jojl	tigre
ingerir	tabaco
jonta	hueco
jonta	perforado
joog	joogkowellu
joog	mico
kogkowellu	lagartijas
kogkowellu	varias especies de
lagar	s gecónidos lepidoblepharis
sanctae	rartae
sanctae	sartae
sanctae	thecadact ylus rapicauda
sanctae	thecadactylus rapicauda
kopiyo	loba
joogkowellu	espada
joogkowellu	lagartija
lin	mosca
haj	nc bri
haj	raasog
haj	raasonti
haj	rakkwata
pal	las avispas
pal	mas
joorodz	ron
jooromaajna	ef
jooromaajna	num jo tres
jooromaajna	refiriéndose a objetos
jooro	de sabor picante
jooro	ef
jooro	erguido
jooro	estar
jooro	falta de completitud
jooro	impar
jooro	jooromujna num dos
jooro	otro
jooro	proteyeemekenta num cinco
jooro	pundungo
jooro	refiriéndose a objetos
osobriri	chupado
joowariya	baño
joowariya	los arroyos
partici	ovejo
ralisadapar	rést
muu	apiadarse
muu	condolerse
muu	encariñarse
refe	nom caney
refe	palma africana
refe	palma amarga
una	codorniz
una	estando atención weenoo
una	kkaowaya
catutikkwi	iigkri
jou	veranillo
llu	julio
llu	veranillo
cla	junco
acuá	aguja
acuá	yuca
juumeriya	arrogero
juumeriya	arroyero
juumeriya	ronda
juumeriya	vara de piedra
ammi	loorensukra
ammi	ra
ammi	ral que kra
egowi	odear
estante	canastos
estante	rías
figaraza	kaechuda
hoja	vegetal
vegeta	kaaw ción arbustiva
ore	achiotero
ore	kraarikra
ore	kroosu lana
ore	llana
ore	na
kaata	salir
pooro	niya
pooro	yannaka
objetos	anchos
objetos	continentes
objetos	cóncavos
objetos	los calderos
objetos	redondos
objetos	refiriéndose
objetos	vi grandes
objetos	vri esféricos
gui	ensis
kissu	kreepog
kissu	ookranta
kissu	rooro
kissu	suri
señño	onte
kaawuya	cabuya
aproximada	bisk abuelo
aproximada	cañandonga
aproximada	degustar
aproximada	en yaan
aproximada	en yaau
aproximada	familia
aproximada	hy kraa chorida
aproximada	wakkwi nen inferior
kaggra	constelación de estrellas
kaggra	nebulosa de orión
galli	gallinas
galli	nazo bactris major
galli	pavos
kaawa	cigarrón
kaawa	con yero
kaawa	horqueta
kaawa	kissuguuri
kaawa	kreepog
kaawa	ookranta
kaawa	palo
kaawa	seññomonte
kaawa	trupillo
curcu	palizadas
curcu	veranillo
bukkra	asog
bukkra	buukrajooni
bukkra	joonawa
bukkra	kaapato
bukkra	raasonti
bukkra	rakkwata
bukkra	uttu
ribri	burro
ribri	cabios
rikati	canoa
bebidas	babilla
cai	makwati
cai	sog
cai	uma
pigara	danta
ungu	burro de selva
phas	deca
phas	isa isa
phas	matodea
phas	tie kuurupretto
fogo	andar
fogo	malambo
maa	ci
maa	ei
maa	garakra mpl municaca
maa	lapa
maa	más
maa	palo de agua
maa	papose
maa	ñaawikra
apro	junio
apro	pisingo
kassa	f su
kassa	hoyador
kassa	krawa
kassa	no diente canino
kassa	nu alanca
kassa	qu manta
kassa	sakkramanta
kassa	sontowa
kajkwari	penca
assi	aíz de árbol
hormiga	diibri
hormiga	especie de
hormiga	traquitraqui
maaza	aromo
maaza	carpinterito
maaza	guayacán chaparro
kajsantasantari	vara de humo
kajsantasantari	vara de león
kajsantasantari	vara santa
kak	yuca
varuunisa	las semillas rbóreas
kawero	acagúero
kawero	departamento de magdalena
kakkewa	apodo
telefo	solicitar
parti	cular
parti	wikaagra yowi
pol	cascabel
yuca	delgadas
yuca	nta tizón denyatta
kanne	bejuco
kanne	bejuco tierra
kanne	iguana
unguis	bejuco uñita
unguis	canasto
unguis	m st canasto
qua	al drivalvis
kanta	de cls gre
gwajgowanisa	no
cor	ikwa s jar
cor	macanear
cor	rié tar selva
dis	esposa
dis	esposo
dis	paral
dis	restos en línea
veinte	pie
tal	empeine del pie
katti	bitaciones
katti	calabazos
katti	clasificador
katti	e kattimujna
katti	en general
katti	falta completitud
katti	habitaciones
katti	habitaciones eq
katti	habitáculos y
katti	impar
katti	objetos
katti	otro
katti	refiriéndose a casas
katto	calabazos
katto	habitaciones pa
katto	num d dos
katto	refiriéndose a casas
habitacio	calabazos
hatti	m erna
kattukwadaggera	r nom
kattukwa	deera
kattukwa	keeko daggera
kattukwa	sooweda buurari
kattukwa	sooweda deera
sooweda	ad deera
keera	extenso
keera	no ancho
keert	que
keert	sólo hilaba algodón
his	luna
his	rias tradicionales
domésti	acuartelar
exten	ad desagradable
exten	graw dido
exten	pararse
exten	rtado
exten	sentado
exten	y ay koegur
exten	yacer
ceram	al bycidae
kej	menos
kejmeta	delicado de salud
kii	no hables
kii	nokenta
kii	papaya
kii	simple
vene	ado
vene	copey
vene	mente
pigera	ya
cerámi	cc cos
natura	fiera
natura	z identidad
natura	za
kwreyanisa	empo de sembrar
non	cosecha
liter	compras
domesti	coclada
emplu	cagada de pajarito
emplu	excremento de pajaro
rutina	pro
ooyo	riga
kisa	bre de hombre
kisa	ces
kisa	continentes kaamujna objetos
kisa	dos
kisa	jetos anchos
kisa	na s veces
kisa	redondos waamujna
mil	trabajo
imie	peón
def	quinina
def	época laqueza
ere	chinchorro
septe	kitt natum
véase	oso caballo
kissuta	nombre de hombre
kiitroga	pante
kiitroga	rrabajaré un día
kogg	manilla
kogh	loro
pen	arroyo grande
stri	idae
ratikkw	kogkra
kokke	despacio
jukkrusa	dedo corazón
jukkrusa	konne dedo medio
mañña	konne risu
prés	konnew kokkwa kweerini
prés	nom dedo medio
prés	num espe dos
carac	suero
preci	ta
cica	didae
koo	koo
koo	ma bru ennaka
koona	pargatera
peeña	mosca real
gra	animales
gra	objetos
gra	radio
gra	taaukul badora
gra	tensis
compartir	dividir
koogra	cla sificador
koogra	familia
koogra	grupo de
koogra	impar
koogra	lom koogramujna
koogra	otro
koogra	refiriéndose a
koogra	tronchar
reco	maíz rrido
reco	num koo uno
aire	de familia
aire	ef
noh	c bruguti
noh	coco
noh	compadrito
noh	koona uita
relativamente	lejano
kraa	clasificador
kraa	ef
kraa	falta de completitud
kraa	impar
kraa	los kraamujna
kraa	no perico
kraa	orar
kraa	refiriéndose a mazorcas
kraa	tra
conserva	mental
normas	hermana
normas	prima
cola	auxiliar
cola	rar
cada	canto
cada	m ed tor
kraas	cacao
kraas	num no dos
kraas	refiriéndose a mazorcas
kro	cacique
jooyalisa	a mpl ora
tinc	la
sobre	turales
cinco	refiriéndose a mazorcas
oracio	los rezos
oracio	ol nes
kraj	contrastantes
mari	si posas
kran	a quebrar
herra	los ot calabazos
kranne	clasificados
kranne	falta de completitud
kranne	fila
kranne	impar
kranne	jtro
kranne	nemujna m os
kranne	neteyeemekenta jum nco
kranne	sin ramas
kree	ef
kree	nudillos
kree	refiriéndose a codos
kree	roun dillas
kree	tobillos
kreekakkwi	nom
kreekenta	voluntarioso
kreey	covador
hie	pundungo
joo	apli o
joo	estriado
