aadi	bueno; sí
gajbr	suegra
galli	gallinas; nazo bactris major; pavos
gallina	enano; kiironumida meleagris
galo	par sag sag
ganta	gen cls suf
garganta	garrapatero
gata	sobrino
gate	bracito
gec	waacha chorida
geco	pckkrutu sijbrida gonetodes albogularis; zoo tod reptiljoogkowellu pckkrutu
gee	awaluitu; cerdo verdadero; miitu; reesa ennaka; saajino; wuda
geen	tugranisa
general	vrb
geni	tales masculinos
giij	wiyettala
giip	alacrán
gite	españoles; guerreros
glan	um
glo	zarza blanca; zarza roja
goc	kora brinne
gotar	jaarowi; jazro
gouazou	krec bira
govazou	pisa
gra	animales; objetos; radio; taaukul badora; tensis
grabadora	jiilariu; jiilariyu; taarakakka; waacha gracias wecsa kwiiri; wecsa kwiiriche
gran	calderos; cóncavos; des felinos al olfatear; ef; huecos como calabazos; les; mico
gregarios	kwi clasificador
grisá	gabriira vilán pequeño
gru	mosa; ms
grue	chicharrita
grugga	desviarse
grutta	respeto; seriedad; solemnidad
gruu	respeto; takakkwi
gruuchakkwi	adulto; anciano; señor
grí	entidades kuuke humanas; num uno
gugga	abastecerse
gui	ensis
guien	difunto
gun	risu kraari; yaau takke; yaau takkesu; yaawak yajgasu gruttari
gutta	gu amanecer
gutteriya	dl morada
guttita	imp
guurisu	ancianos
gwaa	ya
gwajgowanisa	no
gwajgowi	socolar
gwraa	piecito
gwrakkebru	chirrio
habitacio	calabazos
habla	eagasaleka; enlengua indígena; ensangrentado
hablar	pl
había	vrbtrs nada
hace	mee estar colgado balanceándose
hacer	waarigowi
hacerlo	bugre bugregowi
haci	pr kwrcewita
haj	nc bri; raasog; raasonti; rakkwata
halarob	gos; melón
haleka	abuclito; cariño; peenarisu
ham	astr bre kikkradarinisa
har	noa jeta; seres humanos kutteycemekenta
hede	flexibles pigotaka; hasta arrancar objetos largos
her	cé; ef; isa isa mosa; mano; nana; nano; oorisu; sentari; yere ere
hexa	magd sonus
hicador	sin vellosidades
hie	pundungo
hii	chivato
hilo	plantas
hincar	tootuttusu
his	luna; rias tradicionales
hnir	han waawaka; wauka
hoja	vegetal
hor	btrs rciar; caminar imar gukkwa; kitari; ll ca btrs ejar; mangle; prést carnero; ttiwa wi btrs rciar
hori	adentrar dera; animales; huecos pronti; kroggoti; recipientes tiñña; waya owi tal sa
hormiga	diibri; traquitraqui
hrni	troncharse
hue	balones; comida cos uggutakri; dejar; nos cos como huevos; significar; tinajas
huma	animales; antiguos; armad dos; os; otros indigenas; pa; peniento indígena
humanoi	des
humi	kicwi pr abrillas
humsi	moowe lis
hydrochae	mana; saíno
icador	ancha; ao carreteable; jiibrekwari; macana; maciza; rabo; taakwanta; tabla dera
ificador	brazo
iglorabribri	nom vástiga
ikwa	bejsumunnaa
imesivo	enana
imie	peón
imper	bonito; ittikogratawa; monse monsetewa; nublado; tarur montañoso
indetermi	años
indus	rob trial
indí	migkre wi tuwi chee; sorghu nas
inferior	wettao
ingerir	tabaco
insec	tos
insecto	cocuyo
insul	frijol
inte	duerme dentro maca; saaragate kissasa
inten	kwee cionalmente; kwekkw cionalmente
interro	emb gativos; negativos; relativos; stivos
inverte	brados como grillos; casaa racoles; langostas
irbol	maatukra inga panamensis
iritu	yuuwari
ita	krcemedi
itrik	tierra plana
ittakra	pecho
itti	borrachera; desierto; majagua; ti ittibrajga
ittik	llegar
jaa	estante; num; takawa; zarzo
jaachoteru	achotero
jaakra	bocona; cabeza; impar; krateu om calvo; kratoro nom occipucio; otro; paakraputtu nom calvo; plantas; sardinita
jaame	venado
jaane	adj encima; sobre
jaawug	jabón
jabón	gooya; jo; job
jac	mtia sp
jachukwa	vrb
jannu	delasc kwane; llegaron rápido unos hombres
jaratuu	enfadar
jarta	añat kra
jatiki	desde; hasta
jatta	al final; dos ma; kogg dukkra
jau	vi vrb
jeen	así soñó; pegar
jegayo	jiikati ahogarse
jennika	vrb
jii	we
jiika	apl st radio; cuántos hijos tienes oral; grabadora; transmisor; waacha too; ón taarakakha
jiilariy	noa jiicha
jiina	jiiwa vrb
jiinaka	salir
jissanekaa	joj vrb
jiya	avergonzarse; sentir pena
jiyakaa	vrb
jna	carreto
jojl	tigre
jonta	hueco; perforado
joo	estriado; pero; rugoso
joog	joogkowellu; mico
joogko	erguir wella pekktrata
joogkowellu	espada; lagartija
jooro	ef; erguido; estar; gruposde jo objetos colgados; impar; jooromujna num dos; otro; proteyeemekenta num cinco; pundungo
joorodz	ron
jooromaajna	ef; num jo tres
joowariya	baño
jou	veranillo
joññokwa	pa
jukkrusa	dedo corazón; konne dedo medio
jun	loorensu; na; tos; uuyama
junco	juventud bot moción
jus	loorensu; uuya
juu	kra; loorensukra; nunca; uuyamakra rbita maxima
juumeriya	arrogero; arroyero; ronda
kaa	bint espirar; camisa; circula rakanta; clasificador; continentes; estar; hoja vegetal; ia; impar; limuttu; num; otro; paapelu; praata; ron; sangregado; sentirse; ser; ta; taanti nom; taauku; tabaco; tomar aliento; vrb
kaakri	uma mata; uti; uukri; uumata; uupe; wuta
kaarataka	kaaratakkewa; rawa
kaata	salir
kaawa	cigarrón; horqueta; kissuguuri; kreepog; ookranta; palo; seññomonte; trupillo
kaawuya	cabuya
kacabr	pedir; solicitar it
kaj	arc braganisa; bri; casearia sp; crabri; dassi; gee; horqueta dekaj jeenoya; paagwa ittiya; raasog; raasonti; rakkwata; ssara
kajbri	bei; kujbri; opporo; rokkrwa; rokkwa; sg; sog; ujbri; uma; waakwati
kajgwra	kuarupretto; nom novakra; paawa russw; patunisa ggwratikiwi
kajkuusagra	detierra
kajkwari	penca
kajnoo	romper monte; tirar
kajsantasantari	vara santa
kak	yuca
kakka	nubarrón; temporal
kakke	me gustaría; miiwiti mesa okowiyude
kakkewa	apodo
kan	awx; mit reesaennaka; saajino; tapaculo; tuuda
kannatu	ace bru
kanne	bejuco; bejuco tierra; iguana
kanta	no vrb
kassa	hoyador; hu kassa kassa nom; krawa; no diente canino; nu alanca; qu manta; sakkramanta; sontowa
katti	bitaciones; calabazos; clasificador; falta completitud; habitaciones; habitaciones eq; impar; objetos; otro
katto	calabazos; habitaciones pa
kattu	decra; dl kwadeera; sooweda buurari; sooweda decra; sooweda deera
kattukwa	deera; keeko daggera; sooweda buurari; sooweda deera
kattulrwa	daggera; kattulwadeera; sooweda buurari
kawero	acagúero
kazw	bersattuda; pela pela becsattuda
keera	extenso; no ancho
keert	que; sólo hilaba algodón
kej	menos
kenne	gkrete; yumm keya
kii	no hables; nokenta; papaya; simple
kiiri	animal desgraciado
kiirimakkra	co
kiitroga	pante
kisa	ces; continentes kaamujna objetos; dos; jetos anchos; redondos waamujna; vrb
kissu	kreepog; ookranta; rooro; suri
kiti	aceituno; ro
kkwi	vrb
kogg	manilla
kogh	loro
kogkowellu	lagartijas
kokke	despacio
koo	koo; ma bru ennaka
koogra	cla sificador; familia; impar; lom koogramujna; otro; tronchar; vrb koograte
koom	moolakka; moolakku; rela wa; ruchette
koona	pargatera
kopiyo	loba
kraa	adj kran mazorca grande; clasificador; ef; impar; no perico; orar; tra
kraar	liga
kraari	vr nom
kraart	vrb
kraas	cacao; num no dos
kraggwika	nu vrb
kraj	contrastantes
kranne	clasificados; fila; impar; jtro; neteyeemekenta jum nco; sin ramas
kraña	krañagoyc; nakkan gowi
kree	ef; nudillos; roun dillas; tobillos; vf nom an articulación
kreekakkwi	nom
kreekenta	voluntarioso
kreey	covador
kregkrero	carpinteros
krejkaa	sentirse respaldado
krejkakwa	apoyar; respaldar
kro	cacique
kroo	toosukroori; wi
kroori	aya; kroorimooya; kroorimooyaka; toosukroori; toosukroorí; waya
kroorimoo	osukroori
kuj	rocodylus sp
kun	morar; naagri vrbint provenir; que; residir
kunzaka	kuusakagatta
kuu	compa; compadre; matapiojos; sakagaabra; sakagatta
kuukara	mah cha; riirituu
kuuti	gow
kwaa	dom kwaati; ef; impar; kwaamujnz; kwagw kwaateyeemekenta vrb; objetos planos; otro; seres
kwaariyoriri	cuerpo plano
kwaj	macondo
kwajbr	vrb
kwajgri	kwan vrb
kwakwi	no vrb
kwanna	no vrb; waaw gee
kwee	gusano; veranito
kweg	no envasar
kwekkweri	grande
kwere	estado rini; kokkwa sooweda; kokkwa ta
kwiika	tío
kwitta	cavar; éa vrbtrs
kwraa	kwiiwita gu vrb
kwrecwi	kri
kwree	vri vrb
kwreekwa	ka vrb
kwrii	alebrestarse
laakwi	murciégalo
laaniki	afuera; exterior
laawi	murciégalo
labios	lagaña
lado	gwreedesbar seva gr
ladodel	jartiniki
ladu	maíz cuba
laggri	demorarse; tardarse
laje	gusano
lakkra	espinilla
lamen	santiago
lanta	ajnikra; armmnikra; bruttukolkra; majkra ipoatatas; muntimuntirakra; wecriya ittiya; wecriya ittiya morinda royoc; yaasi kenneriya momordica charantia; yummekra lagenaria ta
lar	cé tii; desmigajar; grillo cebollero; im gos; oblongos; tes gos; tiinti nitti; tiirin gos; tiranta
las	esdelosárboles; llegar hasta
lati	cone folio
lem	sia intege niscatus
lengua	habla; idioma; palabra
leopar	dus pardalis; leopardus wiedii
lesvá	brajgawita
lfligoti	alacrá desmenuzar
lia	añ; but ratón heteromys anomalus; currucuchú; mc; pigurars bukkachu; zorro chucho
liber	refiri pepo
ligkwa	num adj tres; refiri grumoso
lii	badense objetos desgarrados; cé; impar; tro; urers
lijmanta	vrb
lil	burros; caballete; estante; zarso
lili	vrb
limettu	liligowi nom vrb
limpiacasas	reptil zoo xim
lin	mosca
linga	guarumera; guinea moo; mowi bot paar guartinaja
lis	azulosas tretiosciatus; blancas
liter	compras
litto	contrapietra; corneta
lkati	lantaka vrb
llama	priimubira
llevar	gattibri
llo	breenso brenso; isa isa; paayani; tuugwa rugwa
llu	as aproximadamente entre junio; julio; veranillo
loj	daggera; waachikloo
looren	ra; uuyamakra; vg sukra
loorensu	lugga nom nom
los	baile; barbulito fa blanco; bonguita ceiba pentandra; bres cuyos; buuruganta; buññukwi; carretico aspidosperma polyneuron; conju pokkre; cucaracha; delgada; ef; guayacancito bulnesia arborea; ikkadikra; intestinos; jukkatutikkwi; juventud; kajwaruunisa; kanti; keera; palma ble; pequeño tamaño; perrito; plantas; rostro; rujgakanta; sdel mundo; seragkwa; snovemcincius; sombra no humana; tajdikra; ternura; tign nom thera mafufo; tobillo; toro; tuutawa; vg biladuggra cóccix; vw; wipproro; yoorotiirini
luciér	casarse; guindar
lugkre	escobilla blanca
lum	handroanthus billbergis
lun	guartinaja
maa	allá viven tus padres; ca remos más maiz; ci; ei; garakra mpl municaca; lapa; más; papose; ñaawikra
maaj	extingu gatagawi; gatagawi; maajgawi; maajgawita; tapaculo
maajga	frecuentar; saler
maajgata	fecar
maana	ad vrb; agua que asa
maanritii	abejajormis
maarigowi	morroc vrb
maatageri	siempre
maawi	agua cristalizada
maaza	aromo; carpinterito; guayacán chaparro
macabro	ma makradx
macj	figur
mad	saco; varón
made	ciertas frutas
madu	vencer
magda	buurukakkratari; lena; lena aarajakkratari; morrocoyo; muula
magdalena	diitake kweerini; diitake sal wakkani
maintoorc	caliche
maiz	ladu; lampu
maj	gu nakuusagranisa
maja	cejas anat cercar ukkrakikkrasagra
majkra	pl magkre batata pron
majnakun	wa
malifor	pl mara passif
mami	vrb
mamife	corzuela; mazama; venado
mamo	lla
mamí	aki; akkrakoro; dentado cabassous centralis; fero desdentado cabassous centralis; lakkrakoro chorida; nón; ro desdentado dasypas novemcinctus
man	vrb golero
mano	tear
mar	appal cha hoy; pialis
mara	maní
mari	si posas
marital	nte
marsupia	lis
matriz	útero
matta	intg nom cuál congo
mayo	peer res
mayoría	arbustos jaa; palmas; plantas cultivadas
maíz	carreto
maño	termitero
mañña	konne risu
maññari	borde prést
mchoroto	ardilla
meere	minagkreyane weekagaya; no nos enfermado
meeta	medicina
meewi	gatoco vrb
melano	dryocopus lineatus; leucos
melanoleu	carracachero
melera	peññukragga
men	naaregowiti; roosau
menos	cercas wi ear; gaari gari; jonsonaanta manta; krecre augurar krere; krecro krero; krokkro krokkro; kwekkweri; maari maarl; wiima wimari
mente	figar yuuguwi; gwajgawi; myias gwajgo; yuuti
menti	cé; padre delos yakkwa ette
mes	bolloblanco; kaktk bollo
mesem	nibiscayennensis
mesembri	cada; nibis cayennensis; phimosus infuscatus
mexi	cana; inón; oso caballo
mico	biiku; joo
mifero	querer
mii	das equis witi; sagkwa diitake
miisiri	saíno
mil	trabajo
minane	no regresé rápidamente
minniki	chinchilín
mno	blanco; cha waacha bajmipita; tres pics
mom	bin; enamorado; fruto demoorowa; in
mono	aret bot arará
montear	cé
moo	ascgurar; rekkawa alouatia seniculus
moomat	mooka prime vrb
moota	vrb
moowa	in moore ittiya
mooña	nom
mor	beekara gutteekaya; ticmpo
more	caluroso
mowíi	jobo
moxri	vrb
mueble	jaz
mul	icidad
multi	bre plicidad; cllos dijeron; ene plicidad
mumirin	esclarec tala
mur	ciélagos
muu	apiadarse; condolerse; encariñarse
myi	saare tubercal cls
más	yauti; yawati
másomenos	ervida kiiwo; loba
naa	nura naarira; rira
naaj	acuta mata
naajga	acompañando kraachago; yeekwilo tiki
naajgriga	mozo
naajmata	naanta na vrb
naakarika	erguirse
naakiwa	cardón
naantimal	vrb
nae	cha waacha chorida toro; nom waagri español
nakasuri	adv raíz; frecuentemente
nannaa	ñoo divisar
nappi	avanzara saltos; generalmente
narra	ciones
narracio	imina weewi lun aqu
natura	fiera; za
nau	dera; scabundo
nega	nada te ocurrirá; tivamente
negwa	adv su
nene	conjunción coordinativa
neta	equiw
neya	adv arri enseguida; inmediatamente
nfna	dem nijya ese
nimal	bitto dittake; poonchi; wiisatu hydrochoerus hydrochaeris
nina	dem pasad aquel
nine	plaga
niwai	wentak robar
niñ	et soñar; ñar
noh	coco; compadrito; ha nompl plea cocotero; koona uita; trs ger algodón
noke	taauku hablarburdamente
